year,stat,gilmore.meadow,great.meadow.1,great.meadow.2,great.meadow.3,great.meadow.4,great.meadow.5,great.meadow.6
2016,WL_mean,21.66079260357143,-22.01077380952385,-2.945714285714292,-49.33551652277472,-14.799434523809595,6.742738095238093,-25.845565476190465
2016,WL_sd,11.14020866568787,5.344699638602844,4.25544424026013,16.25411106543043,9.024786894068857,4.073682145058819,4.021535283100556
2016,WL_min,1.564715,-30.8,-10.6,-82.3,-31.9,-1.6,-32.9
2016,WL_max,39.95642,-9.3,9.4,-9.6,6.7,17.3,-16
2016,max_inc,1.2542300000000033,2.900000000000002,5.1,8.100000000000001,2.4,2.9,2
2016,max_dec,-1.1318699999999993,-3.5999999999999996,-1.4000000000000004,-1.7000000000000028,-4.8,-4.300000000000001,-1.9000000000000021
2016,prop_GS_comp,100,100,100,99.9702380952381,100,100,100
2016,GS_change,-28.70819469722222,-10.534305555555555,-5.73486111111111,-37.45803701128108,-18.097083333333327,-2.3001388888888887,-7.346250000000001
2016,prop_over_0cm,100,0,20.416666666666668,0,5.654761904761905,99.55357142857143,0
2016,prop_bet_0_neg30cm,0,99.40476190476191,80.05952380952381,8.335814230425722,91.66666666666666,0.625,80.11904761904762
2016,prop_under_neg30cm,0,0.5952380952380952,0,91.66418576957427,2.797619047619048,0,19.88095238095238
2017,WL_mean,3.555192803571427,-45.4663095238095,2.552053571428616,-49.050863095237986,-15.795863095238156,6.782827380952403,-28.672432271509358
2017,WL_sd,5.751091910315038,9.221061461026224,7.629920768196393,20.82617377223601,14.62956376323835,6.517011406456981,6.753463524270895
2017,WL_min,-8.9833176,-59,-13.4,-81.3,-43,-3,-39.4
2017,WL_max,30.2343444,-23.5,37.4,1.6,16.2,31,-11.9
2017,max_inc,2.416689,4.700000000000003,4,6.5,4.299999999999997,4.4,4.399999999999999
2017,max_dec,-2.5084619999999997,-3,-3,-3.1000000000000014,-3.1000000000000014,-3.4000000000000004,-2.900000000000002
2017,prop_GS_comp,100,100,100,100,100,100,99.9702380952381
2017,GS_change,-10.140265025000001,-13.618472222222223,-9.067222222222227,-37.22805555555557,-21.975694444444446,-7.8958333333333375,-9.18513888888889
2017,prop_over_0cm,69.46428571428571,0,58.69047619047619,0.4464285714285714,19.732142857142858,88.95833333333333,0
2017,prop_bet_0_neg30cm,30.53571428571429,5.119047619047619,41.726190476190474,23.779761904761905,61.30952380952381,11.93452380952381,48.85382554331647
2017,prop_under_neg30cm,0,94.88095238095238,0,75.77380952380952,19.166666666666668,0,51.14617445668353
2018,WL_mean,-6.991576220467259,-24.17473214285713,-0.47556547619045353,-60.61235119047612,1.2732440476190554,12.934047619047607,-26.767321428571456
2018,WL_sd,9.090886282679913,8.352266678330535,3.3338361996909076,23.689485368127478,9.656030430753152,4.447453953261697,4.779239984523533
2018,WL_min,-31.29768562,-39.6,-10.2,-110,-20.9,6,-38.3
2018,WL_max,17.18904938,18.6,11,-20.1,24.7,36.9,-13.3
2018,max_inc,8.198388,23.6,3.2,15.700000000000003,41.3,5.1000000000000005,3.299999999999999
2018,max_dec,-1.4989590000000002,-2.8000000000000007,-2.9,-2.8000000000000007,-2.8999999999999986,-6,-2.8000000000000007
2018,prop_GS_comp,100,100,100,100,100,100,100
2018,GS_change,-11.914727138183336,0.9258333333333262,-4.249444444444447,-18.27361111111113,-6.076249999999995,7.0316666666666645,-1.7558333333333422
2018,prop_over_0cm,28.601190476190474,0.5952380952380952,41.48809523809524,0,59.017857142857146,100,0
2018,prop_bet_0_neg30cm,70.26785714285714,68.39285714285714,59.61309523809524,7.142857142857142,41.42857142857143,0,71.8452380952381
2018,prop_under_neg30cm,1.130952380952381,31.011904761904763,0,92.85714285714286,0,0,28.154761904761905
2019,WL_mean,-5.615957724137932,-18.115098272781466,4.899463806970565,-27.67847573682639,4.804019053289583,5.463222156045283,-20.812686122692117
2019,WL_sd,6.198568699340083,11.548205741961596,9.412945955430184,20.16844413216484,12.12271500537255,5.435792190658822,7.764672554474998
2019,WL_min,-20.046464,-38.2,-7.2,-63.3,-12.5,-3,-32.8
2019,WL_max,35.384428,29.5,40.1,10.8,35.4,42.9,16.6
2019,max_inc,18.721692,14.799999999999999,25.4,6.1,14.3,6.099999999999998,25.9
2019,max_dec,-3.5179649999999967,-2.9,-3.5,-3.3,-2.099999999999998,-4.1,-3.4000000000000004
2019,prop_GS_comp,99.13707268503154,99.94047619047619,99.91071428571429,99.9702380952381,99.9702380952381,99.94047619047619,99.94047619047619
2019,GS_change,-7.285501574999999,-20.88736111111112,-20.68152777777778,-40.59624999999999,-23.38638888888888,-8.405555555555555,-15.332638888888887
2019,prop_over_0cm,11.44961499832608,3.0673019654556284,62.257968424188256,10.241143197380174,52.33700506103007,92.82310899344847,1.1316259678379987
2019,prop_bet_0_neg30cm,88.55038500167393,76.92078618225135,38.09949359547215,41.17296814528134,48.34772253646919,8.308516974389518,88.80285884455033
2019,prop_under_neg30cm,0,20.07147111375819,0,48.79428401309914,0,0,10.095294818344252
2020,WL_mean,3.2062657035714346,-21.09160714285714,1.6304166666667468,-60.68946428571423,-1.9699702380952142,13.10258928571426,-21.69053571428577
2020,WL_sd,6.853187709558451,12.205614198316706,9.489959461427524,21.864902982768495,8.711103740092408,8.957774775535025,8.660453057867427
2020,WL_min,-14.405932,-41.2,-9.3,-96,-17.2,3.6,-32.7
2020,WL_max,24.81173,28.8,47.7,-2.3,38.7,62.9,20.4
2020,max_inc,12.54231,1.1999999999999993,1.1999999999999957,12.599999999999998,18.1,5.6,8.5
2020,max_dec,-1.5907320000000027,-7.100000000000001,-8.300000000000004,-9.200000000000001,-5.5,-10.399999999999999,-4.599999999999998
2020,prop_GS_comp,100,100,100,100,100,100,100
2020,GS_change,-8.086320137500001,-9.579722222222218,-8.797361111111112,-34.41458333333334,-4.633333333333336,-3.6536111111111165,-5.646111111111114
2020,prop_over_0cm,69.67261904761905,3.6309523809523814,55.05952380952381,0,19.761904761904763,100,4.434523809523809
2020,prop_bet_0_neg30cm,30.32738095238095,74.25595238095238,45.56547619047619,6.5773809523809526,81.63690476190476,0,83.125
2020,prop_under_neg30cm,0,22.113095238095237,0,93.42261904761905,0,0,12.470238095238095
2021,WL_mean,3.9172043804703773,8.315327380952342,17.689821428571417,-32.44313375037231,24.99907738095236,43.92764880952377,-4.972321428571461
2021,WL_sd,5.136666012256585,11.416449284785088,11.101789881851733,10.633681536763802,11.137376051969213,12.057920175046009,11.153353157708706
2021,WL_min,-0.841258,-3.1,3.8,-53.8,8.9,28.4,-17
2021,WL_max,109.877768,61.6,68.7,-2.1,76.5,94.4,48
2021,max_inc,73.377612,28.599999999999998,18.099999999999998,18.3,15.9,14.700000000000003,33.6
2021,max_dec,-16.774065000000007,-2.1000000000000014,-2.4000000000000057,-1,-2,-5.799999999999997,-2.3000000000000007
2021,prop_GS_comp,99.9702380952381,100,100,99.91071428571429,100,100,100
2021,GS_change,2.054128999999999,12.989444444444425,13.814722222222224,13.48569444444444,12.677916666666672,14.797499999999992,12.548611111111105
2021,prop_over_0cm,96.39773742185173,83.03571428571429,100,0,100,100,14.880952380952381
2021,prop_bet_0_neg30cm,3.6022625781482582,17.32142857142857,0,35.62704795948764,0,0,85.20833333333333
2021,prop_under_neg30cm,0,0,0,64.37295204051236,0,0,0
2022,WL_mean,-4.806857613392862,-0.40940476190475017,17.050892857142856,-36.06374999999998,16.216785714285702,31.553988095238097,-13.22059523809523
2022,WL_sd,8.517328791812231,8.529454121935174,7.880395316403183,17.69263343836972,8.876833671432694,8.964777202730074,7.146571528456837
2022,WL_min,-30.783008,-16.8,3.3,-76.5,1.3,13.5,-27.7
2022,WL_max,39.31117,36.4,48.7,4.3,48.5,67.4,20.7
2022,max_inc,20.302227000000002,5.199999999999999,22.3,9.700000000000003,10.599999999999998,2.8999999999999986,13.7
2022,max_dec,-3.334418999999997,-1.1000000000000014,-2,-1.0999999999999996,-2.3999999999999986,-1.2999999999999972,-1
2022,prop_GS_comp,100,100,100,100,100,100,100
2022,GS_change,-3.7326118499999996,8.741944444444446,11.179722222222225,7.900138888888893,7.063055555555554,8.573611111111113,6.776666666666664
2022,prop_over_0cm,36.339285714285715,46.398809523809526,100,0.5952380952380952,100,100,2.619047619047619
2022,prop_bet_0_neg30cm,63.125,54.13690476190476,0,42.20238095238095,0,0,97.41071428571428
2022,prop_under_neg30cm,0.5357142857142857,0,0,57.20238095238095,0,0,0
